X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,6,0.346,0.070,48.862,0.499,1.067,3.451,,,10.311,Limonite
,,7,0.315,0.067,46.142,0.379,1.135,3.230,,,11.304,Limonite
,,8,0.906,0.106,48.999,1.159,1.266,3.077,,,7.512,Limonite
,,9,1.214,0.118,49.567,1.581,1.194,2.865,,,6.282,Limonite
,,10,1.476,0.116,47.909,2.529,1.347,2.558,,,6.182,Limonite
,,11,1.288,0.122,48.012,1.682,1.054,2.843,,,7.432,Limonite
,,12,1.348,0.117,47.757,1.668,0.823,3.101,,,6.566,Limonite
,,13,1.155,0.125,45.579,1.559,1.186,3.852,,,7.433,Limonite
,,14,1.226,0.121,47.502,1.759,1.193,3.527,,,6.461,Limonite
,,15,0.949,0.110,47.645,3.568,1.245,3.759,,,5.998,Limonite
,,16,1.419,0.110,42.241,7.316,1.839,2.753,,,7.090,Limonite
,,17,1.572,0.107,44.726,5.830,1.610,2.570,,,7.147,Limonite
,,18,1.693,0.110,44.343,7.194,1.694,2.944,,,6.575,Limonite
,,19,1.484,0.102,42.970,6.317,2.240,3.420,,,6.983,Limonite
,,20,1.188,0.067,28.285,16.488,8.142,2.557,,,5.144,Saprolite
,,21,1.678,0.084,33.178,21.844,3.633,2.151,,,4.253,Saprolite
,,22,1.664,0.075,29.587,19.662,6.153,2.065,,,4.038,Saprolite
,,23,0.311,0.005,7.991,32.256,30.773,0.490,,,1.236,Bedrock
,,24,0.313,0.006,8.082,31.540,32.600,0.442,,,1.117,Bedrock
9,DDG 009R,1,1.340,0.111,46.018,3.685,0.573,3.405,,,9.001,Limonite
,,2,1.388,0.125,45.949,2.776,0.696,3.427,,,8.867,Limonite
,,3,1.321,0.121,44.633,2.764,0.535,3.930,,,8.871,Limonite
,,4,1.269,0.109,45.040,3.100,0.721,3.834,,,8.633,Limonite
,,5,1.556,0.096,45.022,4.645,0.468,4.108,,,8.096,Limonite
